time,temp,OXY_oxy,NIT_nit,NIT_amm,PHS_frp,SIL_rsi,OGM_doc,PHY_TCHLA,NRMSE
2023-11-14 17:28:31,-24352.5028908586,-28900069.3205838,-68477.4002604506,-471423.927436241,-12944.696927956,-469138.810858319,-3171595.37306674,-34953.0431312436,1.29172260188903
2023-11-14 17:26:53,-21094.364558163,-27218659.981192,-120765.502438295,-471350.023629197,-12412.9200075322,-466173.416996289,-4406530.45711883,-52634.6756943368,1.37605978588688
2023-11-14 17:25:18,-37412.8316229247,-29472506.2585608,-65706.1054327984,-473063.604838267,-12487.4709068308,-435502.453372765,-2933797.00016691,-30864.6364549749,1.2962192605296
2023-11-14 17:23:39,-22013.6429731168,-21982117.8728983,-73104.5294383998,-472902.474623224,-12555.2406186489,-457491.641278289,-3373693.31697058,-47727.536736096,1.29724846303652
2023-11-14 17:22:05,-58750.3187544852,-23239092.3953343,-130978.90129257,-471623.91674543,-12859.7303144235,-430758.647145997,-7256256.84204312,-105738.703989656,1.58242097199503
2023-11-14 17:20:28,-10086.3016786759,-31928565.8378554,-103599.047818485,-474080.572720893,-13543.9687989505,-450364.125296834,-19454441.8357852,-104280.130809492,1.58355565411408
2023-11-14 17:18:56,-14361.2556222579,-48180914.0392887,-107807.685866248,-477913.680744556,-13551.4601132866,-470103.580525407,-2960254.79690527,-32647.9876325535,1.33895370181338
2023-11-14 17:17:19,-11587.2112144092,-39513289.4214545,-103778.475932001,-475581.412829495,-13219.3077627964,-456764.812351774,-2993250.26429918,-41711.0505095213,1.32208062210609
2023-11-14 17:15:42,-52345.9407489635,-18516142.6081565,-73840.2396921006,-460494.524811678,-11915.2754891493,-421689.974688557,-4832648.5533753,-41586.6285875177,1.34276229246887
2023-11-14 17:14:06,-11341.4074177433,-38522806.0218882,-108346.605483989,-484615.374179735,-13087.7123888251,-480991.651835256,-3376676.73391195,-35751.673992991,1.31863114503587
2023-11-14 17:12:32,-27795.2761616965,-22456894.3580602,-88333.2350651173,-483035.862652451,-12184.2817650467,-426349.831073093,-4028539.72893706,-42304.6201796647,1.31578596960916
2023-11-14 17:10:56,-49811.7113645703,-16694745.3751965,-86619.0277314803,-467239.520536333,-12378.5416350411,-436681.886444546,-4157654.09074695,-33925.7063772805,1.31704448106183
