datetime,depth,flagdepth,ph,flagph,doc,flagdoc,no3no2,flagno3no2,no2,flagno2,nh4,flagnh4,totnuf,flagtotnuf,totpuf,flagtotpuf,drsif,flagdrsif,totnuf_sloh,flagtotnuf_sloh,no3no2_sloh,flagno3no2_sloh,nh4_sloh,flagnh4_sloh,totpuf_sloh,flagtotpuf_sloh,drp_sloh,flagdrp_sloh,drsif_sloh,flagdrsif_sloh
1995-05-09,0,"",,"",,"",,"",,,,"",,"",,"",,"",,"",0.632,"",0.079,R,0.084,"",,"",,""
1995-05-09,4,"",,"",,"",,"",,,,"",,"",,"",,"",,"",0.622,"",0.075,R,0.086,"",,"",,""
1995-05-09,20,"",,"",,"",,"",,,,"",,"",,"",,"",,"",0.672,"",0.071,R,0.084,"",,"",,""
1995-05-23,0,"",,"",,"",,"",,,,"",,"",,"",,"",,"",0.556,"",0.162,"",0.098,"",0.063,"",0.26,""
1995-05-23,4,"",,"",,"",,"",,,,"",,"",,"",,"",,"",0.591,"",0.152,"",0.081,"",0.056,"",0.26,""
1995-06-06,0,"",,"",,"",,"",,,,"",,"",,"",,"",,"",0.545,"",0.161,"",0.072,"",0.053,"",0.4,""
1995-06-06,4,"",,"",,"",,"",,,,"",,"",,"",,"",,"",0.548,"",0.185,"",0.074,"",0.054,"",0.4,""
1995-06-06,8,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",0.081,"",0.066,"",,""
1995-06-06,10,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",0.095,"",0.07,"",,""
1995-06-06,12,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",0.092,"",0.076,"",,""
1995-06-06,14,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",0.134,"",0.112,"",,""
1995-06-06,16,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",0.157,"",0.13,"",,""
1995-06-06,18,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",0.165,"",0.141,"",,""
1995-06-06,20,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",0.218,"",0.184,"",,""
1995-06-06,22,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",0.315,"",0.232,"",,""
1995-06-21,0,"",,"",,"",,"",,,,"",,"",,"",,"",,"",0.327,"",0,S,0.06,Q,0,S,0.5,""
1995-06-21,4,"",,"",,"",,"",,,,"",,"",,"",,"",,"",0.165,"",0,S,0.037,Q,0,S,0.5,""
1995-07-06,0,"",,"",,"",,"",,,,"",,"",,"",,"",,"",0.172,"",0,S,0.046,"",0,S,1.1,""
1995-07-06,4,"",,"",,"",,"",,,,"",,"",,"",,"",,"",0.186,"",0.03,R,0.042,"",0,S,1.1,""
1995-07-06,8,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",0.039,"",0.003,R,,""
1995-07-06,10,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",0.041,"",0,S,,""
1995-07-06,12,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",0.049,"",0.021,"",,""
1995-07-06,14,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",0.214,"",0.197,"",,""
1995-07-06,16,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",0.194,"",0.178,"",,""
1995-07-06,18,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",0.364,"",0.36,"",,""
1995-07-06,20,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",0.375,"",0.372,"",,""
1995-07-06,22,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",0.386,"",0.38,"",,""
1995-07-18,0,"",,"",,"",,"",,,,"",,"",,"",,"",,"",0.015,R,0,S,0.03,R,0.003,R,1.3,""
1995-07-18,4,"",,"",,"",,"",,,,"",,"",,"",,"",,"",0,S,0,S,0.029,R,0.005,"",1.3,""
1995-07-18,8,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
1995-07-18,9,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
1995-07-18,10,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
1995-07-18,11,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
1995-08-02,0,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",0,S,0.032,"",0.002,R,1.4,Q
1995-08-02,4,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",0,S,0.029,R,0.002,R,1.4,Q
1995-08-02,6,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
1995-08-02,7,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
1995-08-02,8,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",0.032,"",0.008,"",,""
1995-08-02,8,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
1995-08-02,8.5,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
1995-08-02,9,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
1995-08-02,10,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",0.099,"",0.066,"",,""
1995-08-02,12,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",0.235,"",0.154,"",,""
1995-08-02,14,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",0.307,"",0.262,"",,""
1995-08-02,16,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",0.343,"",0.308,"",,""
1995-08-02,18,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",0.427,"",0.408,"",,""
1995-08-02,20,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",0.343,"",0.312,"",,""
1995-08-02,22,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",0.581,"",0.52,"",,""
1995-08-14,0,"",,"",,"",,"",,,,"",,"",,"",,"",,"",0,S,0,S,0.023,"",0,S,1.66,""
1995-08-14,4,"",,"",,"",,"",,,,"",,"",,"",,"",,"",0,S,0,S,0.024,"",0,S,1.65,""
1995-08-14,6,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
1995-08-14,7,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
1995-08-14,8,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
1995-08-14,12,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
1995-08-30,0,"",,"",,"",,"",,,,"",,"",,"",,"",,"",0,S,0,S,0.02,R,0,S,1.64,Q
1995-08-30,4,"",,"",,"",,"",,,,"",,"",,"",,"",,"",0,S,0,S,0.023,"",0,S,1.79,Q
1995-08-30,8,"",,"",,"",,"",,,,"",,"",,"",,"",,"",0,S,0,S,0.021,R,0,S,1.78,Q
1995-08-30,9,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
1995-08-30,9.5,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
1995-08-30,10,"",,"",,"",,"",,,,"",,"",,"",,"",,"",0,S,0.588,"",0.049,"",0.021,"",2,""
1995-08-30,11.5,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
1995-08-30,12,"",,"",,"",,"",,,,"",,"",,"",,"",,"",0,S,1.03,"",0.212,"",0.184,"",2.4,""
1995-08-30,14,"",,"",,"",,"",,,,"",,"",,"",,"",,"",0,S,1.27,"",0.312,"",0.284,"",2.7,""
1995-08-30,16,"",,"",,"",,"",,,,"",,"",,"",,"",,"",0,S,1.48,"",0.376,"",0.342,"",3,""
1995-08-30,18,"",,"",,"",,"",,,,"",,"",,"",,"",,"",0,S,1.9,"",0.46,"",0.42,"",3.6,""
1995-08-30,20,"",,"",,"",,"",,,,"",,"",,"",,"",,"",0,S,2.09,"",0.52,"",0.468,"",3.8,""
1995-08-30,22,"",,"",,"",,"",,,,"",,"",,"",,"",,"",0,S,1.88,"",0.474,"",0.402,"",3.7,""
1995-09-11,0,"",,"",,"",,"",,,,"",,"",,"",,"",,"",0,S,0.064,R,0.025,R,0,S,1.6,""
1995-09-11,4,"",,"",,"",,"",,,,"",,"",,"",,"",,"",0,S,0.085,"",0.032,"",0.002,R,1.6,""
1995-09-11,10,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
1995-09-11,10.5,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
1995-09-11,11,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
1995-09-11,11.5,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
1995-09-25,0,"",,"",,"",,"",,,,"",,"",,"",,"",,"",0,S,0.213,"",0.057,"",0.025,"",2.01,Q
1995-09-25,4,"",,"",,"",,"",,,,"",,"",,"",,"",,"",0.019,R,0.21,"",0.059,"",0.024,"",1.87,Q
1995-09-25,13,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
1995-09-25,13.5,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
1995-09-25,14,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
1995-09-25,14.5,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
1995-10-11,0,"",,"",,"",,"",,,,"",,"",,"",,"",,"",0.012,R,0.355,"",0.113,"",0.079,"",2.1,""
1995-10-11,4,"",,"",,"",,"",,,,"",,"",,"",,"",,"",0.031,"",0.356,"",0.109,"",0.08,"",2.1,""
1995-10-11,18.5,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
1995-10-11,19,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
1995-10-11,19.5,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
1995-10-25,0,"",,"",,"",,"",,,,"",,"",,"",,"",,"",0.026,R,0.545,"",0.146,"",0.11,"",1.98,Q
1995-10-25,4,"",,"",,"",,"",,,,"",,"",,"",,"",,"",0.058,"",0.537,"",0.157,"",0.111,"",1.89,Q
1995-11-10,0,"",,"",,"",,"",,,,"",,"",,"",,"",,"",0.051,Q,0.568,"",0.142,"",,Q,0.7,""
1995-11-10,4,"",,"",,"",,"",,,,"",,"",,"",,"",,"",0.107,Q,0.559,"",0.144,"",,Q,0.7,""
1995-12-06,0,"",,"",,"",,"",,,,"",,"",,"",,"",,"",0.187,"",0.502,"",0.122,"",0.093,"",0.1,""
1995-12-06,4,"",,"",,"",,"",,,,"",,"",,"",,"",,"",0.165,"",0.49,"",0.124,"",0.093,"",0.1,""
1995-12-06,20,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
1996-02-06,1,"",8.24,"",6.41,"",,"",,,,"",,"",,"",,"",,"",0.239,"",0.543,"",0.111,"",0.1,"",0.2,""
1996-02-06,4,"",8.23,"",6.41,"",,"",,,,"",,"",,"",,"",,"",0.235,"",0.55,"",0.108,"",0.098,"",,Q
1996-02-06,8,"",8.21,"",6.12,"",,"",,,,"",,"",,"",,"",,"",,"",,"",0.11,Q,0.108,"",,""
1996-02-06,8,"",,"",6.24,"",,"",,,,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
1996-02-06,12,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",0.109,"",0.1,"",,""
1996-02-06,16,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",0.113,"",0.108,"",,""
1996-02-06,20,"",7.38,"",6.45,"",,"",,,,"",,"",,"",,"",,"",0.236,"",1.22,"",0.275,"",0.272,"",2.8,""
1996-04-09,0,"",8.45,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",0.123,"",0.056,"",,""
1996-04-09,4,"",8.55,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",0.125,"",0.056,"",,""
1996-04-17,0,"",7.72,"",6.44,"",,"",,,,"",,"",,"",,"",,"",0.657,"",0.191,"",0.119,"",0.065,"",0,R
1996-04-17,4,"",8.26,"",6.17,"",,"",,,,"",,"",,"",,"",,"",0.646,"",0.185,"",0.123,"",0.066,"",0,S
1996-04-17,4,"",8.37,"",6.47,"",,"",,,,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
1996-05-01,0,"",8.33,"",6.5,"",,"",,,,"",,"",,"",,"",,"",0.635,"",0.241,"",0.093,"",0.076,"",0.1,""
1996-05-01,0,"",8.42,"",6.36,"",,"",,,,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
1996-05-01,4,"",8.48,"",6.49,"",,"",,,,"",,"",,"",,"",,"",0.632,"",0.232,"",0.108,"",0.078,"",0.1,""
1996-05-01,8,"",8.42,"",6.15,"",,"",,,,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
1996-05-01,20,"",8.42,"",6.35,"",,"",,,,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
1996-05-14,0,"",7.77,"",,C,,"",,,,"",,"",,"",,"",,"",0.611,"",0.268,"",0.106,Q,0.087,"",0.32,""
1996-05-14,0,"",8.23,"",,C,,"",,,,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
1996-05-14,4,"",8.23,"",6.26,"",,"",,,,"",,"",,"",,"",,"",0.642,"",0.271,"",0.099,Q,0.083,"",0.3,""
1996-05-28,0,"",8.12,"",,"",,"",,,,"",,"",,"",,"",,"",0.554,"",0.182,"",0.114,"",0.095,"",0.431,""
1996-05-28,4,"",8.08,"",,"",,"",,,,"",,"",,"",,"",,"",0.634,"",0.313,"",0.109,"",0.095,"",0.424,""
1996-05-28,4,"",8.07,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
1996-06-10,0,"",8.46,"",6.67,"",,"",,,,"",,"",,"",,"",,"",0.641,"",0.221,"",0.097,"",0.068,"",0.503,""
1996-06-10,4,"",8.47,"",6.64,"",,"",,,,"",,"",,"",,"",,"",0.561,"",0.248,"",0.104,"",0.074,"",0.479,""
1996-06-10,8,"",8.43,"",6.83,"",,"",,,,"",,"",,"",,"",,"",,"",,"",0.106,Q,0.077,"",,""
1996-06-10,8,"",8.45,"",6.77,"",,"",,,,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
1996-06-10,10,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",0.106,Q,0.082,"",,""
1996-06-10,12,"",8.26,"",6.41,"",,"",,,,"",,"",,"",,"",,"",,"",,"",0.112,Q,0.093,"",,""
1996-06-10,14,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",0.121,Q,0.102,"",,""
1996-06-10,16,"",8.17,"",6.3,"",,"",,,,"",,"",,"",,"",,"",,"",,"",0.147,Q,0.112,"",,""
1996-06-10,18,"",,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",0.155,Q,,Q,,""
1996-06-10,20,"",7.8,"",6.8,"",,"",,,,"",,"",,"",,"",,"",,"",,"",0.19,Q,0.158,"",,""
1996-06-26,0,"",8.4,"",,"",,"",,,,"",,"",,"",,"",,"",0.623,"",0.19,"",0.088,"",0.069,Q,0.675,""
1996-06-26,0,"",8.39,"",,"",,"",,,,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
1996-06-26,4,"",8.39,"",,"",,"",,,,"",,"",,"",,"",,"",0.62,"",0.205,"",0.088,"",0.066,Q,0.698,""
