datetime,depth_range_m,rep,tri_chl_spec,mono_chl_spec,correct_chl_fluor,flag_spec,flag_fluor
1995-01-24,0-2,1,16,,,FG,""
1995-01-24,0-8,1,10,,,FG,""
1995-03-08,0-2,1,18.8,,,FG,""
1995-03-08,0-8,1,11.7,,,FG,""
1995-03-28,0-2,1,15.4,,,FG,""
1995-03-28,0-8,1,15.2,,,FG,""
1995-04-24,0-2,1,16,,,FG,""
1995-04-24,0-8,1,26,,,FG,""
1995-05-09,0-2,1,3.9,,,FG,""
1995-05-09,0-8,1,5.4,,,FG,""
1995-05-23,0-2,1,0.3,,,FG,""
1995-05-23,0-8,1,0.5,,,FG,""
1995-06-06,0-8,1,1.5,,,FG,""
1995-06-21,0-2,1,19.5,,,FG,""
1995-07-06,0-8,1,22.6,,,FG,""
1995-07-18,0-8,1,13.8,,,FG,""
1995-08-02,0-8,1,1.3,,,FG,""
1995-08-14,0-8,1,2.7,,,FG,""
1995-08-30,0-8,1,2.6,,,FG,""
1995-09-11,0-2,1,2.2,,,FG,""
1995-09-11,0-8,1,1.8,,,FG,""
1995-09-25,0-2,1,0.4,,,FG,""
1995-09-25,0-8,1,0.8,,,FG,""
1995-10-11,0-2,1,2.6,,,FG,""
1995-10-11,0-8,1,3.2,,,FG,""
1995-10-25,0-2,1,3.6,,,FG,""
1995-10-25,0-8,1,6.9,,,FG,""
1995-11-10,0-2,1,6.3,,,FG,""
1995-11-10,0-8,1,16.4,,,FG,""
1995-12-06,0-2,1,17.1,,,FG,""
1995-12-06,0-8,1,16.3,,,FG,""
1996-02-06,0-2,1,1.1,,,F,""
1996-02-06,0-8,1,1.9,,,F,""
1996-04-09,0-2,1,45.1,,,F,""
1996-04-09,0-8,1,45.3,,,F,""
1996-04-17,0-2,1,26.7,,,F,""
1996-04-17,0-8,1,23.4,,,F,""
1996-05-01,0-2,1,3.7,,,F,""
1996-05-01,0-8,1,3.5,,,F,""
1996-05-14,0-2,1,1,,,F,""
1996-05-14,0-8,1,0.8,,,F,""
1996-05-28,0-2,1,2.1,,,F,""
1996-05-28,0-8,1,2.3,,,F,""
1996-06-10,0-2,1,4.2,,,F,""
1996-06-10,0-8,1,3.4,,,F,""
1996-06-26,0-2,1,1.9,,,F,""
1996-06-26,0-8,1,2,,,F,""
1996-07-08,0-2,1,19.9,,,F,""
1996-07-08,0-8,1,22.2,,,F,""
1996-07-22,0-2,1,46.5,,,F,""
1996-07-22,0-8,1,56.8,,,F,""
1996-08-05,0-2,1,25.7,,,F,""
1996-08-05,0-8,1,23.9,,,F,""
1996-08-19,0-2,1,14.9,,,F,""
1996-08-19,0-8,1,15.5,,,F,""
1996-09-05,0-2,1,3,,,F,""
1996-09-05,0-8,1,7.5,,,F,""
1996-09-16,0-2,1,9.9,,,F,""
1996-09-16,0-8,1,10,,,F,""
1996-10-16,0-2,1,11.9,,,F,""
1996-10-16,0-8,1,7.4,,,F,""
1996-11-08,0-2,1,5.2,,,FG,""
1996-11-08,0-8,1,2.1,,,FG,""
1996-11-25,0-2,1,13.7,,,F,""
1996-11-25,0-8,1,13.3,,,F,""
1996-12-06,0-2,1,5.2,,,F,""
1996-12-06,0-8,1,5.4,,,F,""
1997-01-14,0-2,1,19.8,,,F,""
1997-01-14,0-8,1,15,,,F,""
1997-02-17,0-2,1,6.3,,,F,""
1997-02-17,0-8,1,4.4,,,F,""
1997-04-09,0-2,1,30.1,,,F,""
1997-04-09,0-8,1,30.3,,,F,""
1997-05-02,0-2,1,8.1,,,F,""
1997-05-02,0-8,1,8.3,,,F,""
1997-05-28,0,1,1,,,F,""
1997-05-28,0,2,1.2,,,F,""
1997-05-28,0,3,1.2,,,F,""
1997-05-28,4,1,0.7,,,F,""
1997-05-28,4,2,0.6,,,F,""
1997-05-28,4,3,1.3,,,F,""
1997-05-28,0-2,1,1.5,,,F,""
1997-05-28,0-2,2,1.6,,,F,""
1997-05-28,0-2,3,1.8,,,F,""
1997-05-28,0-8,1,1.5,,,F,""
1997-05-28,0-8,2,1.8,,,F,""
1997-05-28,0-8,3,1.7,,,F,""
1997-06-11,0,1,8.7,,,F,""
1997-06-11,0,2,8.6,,,F,""
1997-06-11,0,3,9,,,F,""
1997-06-11,4,1,12,,,F,""
1997-06-11,4,2,12.9,,,F,""
1997-06-11,4,3,12.3,,,F,""
1997-06-11,8,1,4.2,,,F,""
1997-06-11,8,2,4.8,,,F,""
1997-06-11,8,3,4.9,,,F,""
1997-06-11,12,1,0.8,,,F,""
1997-06-11,12,2,1.1,,,F,""
1997-06-11,12,3,1.4,,,F,""
1997-06-11,0-2,1,8.3,,,F,""
1997-06-11,0-2,2,8.6,,,F,""
1997-06-11,0-2,3,8.2,,,F,""
1997-06-11,0-8,1,7.7,,,F,""
1997-06-11,0-8,2,7.9,,,F,""
1997-06-11,0-8,3,8.2,,,F,""
1997-06-25,0,1,4.8,,,F,""
1997-06-25,0,2,4.8,,,F,""
1997-06-25,0,3,4.9,,,F,""
1997-06-25,4,1,3.8,,,F,""
1997-06-25,4,2,4.7,,,F,""
1997-06-25,4,3,4.6,,,F,""
1997-06-25,8,1,3.2,,,F,""
1997-06-25,8,2,3.7,,,F,""
1997-06-25,8,3,3.6,,,F,""
1997-06-25,12,1,1.8,,,F,""
1997-06-25,12,2,2.2,,,F,""
1997-06-25,12,3,2,,,F,""
1997-06-25,0-2,1,4.8,,,F,""
1997-06-25,0-2,2,4.4,,,F,""
1997-06-25,0-2,3,4.5,,,F,""
1997-06-25,0-8,1,4.1,,,F,""
1997-06-25,0-8,2,3.5,,,F,""
1997-06-25,0-8,3,3.6,,,F,""
1997-07-09,0,1,6.1,,,F,""
1997-07-09,0,2,6.4,,,F,""
1997-07-09,0,3,6.5,,,F,""
1997-07-09,4,1,6.3,,,F,""
1997-07-09,4,2,6.2,,,F,""
1997-07-09,4,3,6.3,,,F,""
1997-07-09,8,1,5.9,,,F,""
1997-07-09,8,2,6.1,,,F,""
1997-07-09,8,3,6.2,,,F,""
1997-07-09,12,1,3.1,,,F,""
1997-07-09,12,2,3.5,,,F,""
1997-07-09,12,3,3.6,,,F,""
1997-07-09,0-2,1,5.3,,,F,""
1997-07-09,0-2,2,5.9,,,F,""
1997-07-09,0-2,3,6.3,,,F,""
1997-07-09,0-8,1,5.6,,,F,""
1997-07-09,0-8,2,6,,,F,""
1997-08-06,0-2,1,3.9,,,F,""
1997-09-02,0-2,1,10.7,,,F,""
1997-11-30,0-2,1,6.9,,,F,""
1997-11-30,0-8,1,5.6,,,F,""
1998-03-13,0-2,1,40.7,,,F,""
1998-03-13,0-8,1,30.9,,,F,""
1998-03-26,0-2,1,8.1,,,F,""
1998-03-26,0-8,1,10.6,,,F,""
1998-04-10,0-2,1,14.3,,,F,""
1998-04-10,0-8,1,13.8,,,F,""
1998-04-24,0-2,1,74.8,,,F,""
1998-04-24,0-8,1,53.7,,,F,""
1998-05-11,0-2,1,0.8,,,F,""
1998-05-11,0-8,1,0.6,,,F,""
1998-05-28,0-2,1,7.4,,,F,""
1998-06-08,0-8,1,2.9,,,F,""
1998-06-22,0-2,1,19.5,,,F,""
1998-06-22,0-8,1,9,,,F,""
1998-06-22,0-8,2,8.7,,,F,""
1998-07-06,0-2,1,0.2,,,F,""
1998-07-06,0-8,1,22.4,,,F,""
1998-07-23,0-2,1,18.7,,,F,""
1998-07-23,0-2,2,22.4,,,F,""
1998-08-02,0-2,1,11.1,10.9,,H,""
1998-08-02,0-8,1,14,12.7,,H,""
1998-08-18,0-8,1,13,12.9,,H,""
1998-09-02,0-2,1,4.9,4.3,,F,""
1998-09-28,0-2,1,8.1,7.5,,H,""
1998-09-28,0-8,1,8.7,7.9,,H,""
1998-09-28,0-8,2,8.3,7.1,,H,""
1998-10-27,0-2,1,8.2,7.2,,H,""
1998-10-27,0-8,1,11.9,11.2,,H,""
1998-11-23,0-2,1,7.1,6.4,,H,""
1998-11-23,0-8,1,5.8,5.1,,H,""
1999-01-25,0-2,1,1.1,0.8,,H,C
