Depth [m]	U [m/s]	V [m/s]	T [deg C]	k [J/kg]	eps [W/kg]
0	0	0	0.2	3e-06	5e-10
-1	0	0	0.4	3e-06	5e-10
-2	0	0	0.5	3e-06	5e-10
-3	0	0	0.5	3e-06	5e-10
-4	0	0	0.6	3e-06	5e-10
-5	0	0	0.6	3e-06	5e-10
-6	0	0	0.6	3e-06	5e-10
-7	0	0	0.6	3e-06	5e-10
-8	0	0	0.6	3e-06	5e-10
-9	0	0	0.6	3e-06	5e-10
-10	0	0	0.7	3e-06	5e-10
-11	0	0	0.7	3e-06	5e-10
-12	0	0	0.7	3e-06	5e-10
-13	0	0	0.7	3e-06	5e-10
-14	0	0	0.8	3e-06	5e-10
-15	0	0	0.9	3e-06	5e-10
-16	0	0	1	3e-06	5e-10
-17	0	0	1.1	3e-06	5e-10
-18	0	0	1.3	3e-06	5e-10
-19	0	0	1.4	3e-06	5e-10
-20	0	0	1.5	3e-06	5e-10
-21	0	0	1.5	3e-06	5e-10
-22	0	0	1.5	3e-06	5e-10
-23	0	0	1.8	3e-06	5e-10
-24	0	0	2.2	3e-06	5e-10
