"",25.000
0.0000,0.0000E+000
1.0000,0.0000E+000
2.0000,0.0000E+000
3.0000,0.0000E+000
4.0000,0.0000E+000
5.0000,0.0000E+000
6.0000,0.0000E+000
7.0000,0.0000E+000
8.0000,0.0000E+000
9.0000,0.0000E+000
10.0000,0.0000E+000
11.0000,0.0000E+000
12.0000,0.0000E+000
13.0000,0.0000E+000
14.0000,0.0000E+000
15.0000,0.0000E+000
16.0000,0.0000E+000
17.0000,0.0000E+000
18.0000,0.0000E+000
19.0000,0.0000E+000
20.0000,0.0000E+000
21.0000,0.0000E+000
22.0000,0.0000E+000
23.0000,0.0000E+000
24.0000,0.0000E+000
25.0000,0.0000E+000
26.0000,0.0000E+000
27.0000,0.0000E+000
28.0000,0.0000E+000
29.0000,0.0000E+000
30.0000,0.0000E+000
31.0000,0.0000E+000
32.0000,0.0000E+000
33.0000,0.0000E+000
34.0000,0.0000E+000
35.0000,0.0000E+000
36.0000,0.0000E+000
37.0000,2.6422E+002
38.0000,0.0000E+000
39.0000,0.0000E+000
40.0000,2.9468E+002
41.0000,2.4768E+002
42.0000,2.5516E+002
43.0000,0.0000E+000
44.0000,0.0000E+000
45.0000,0.0000E+000
46.0000,0.0000E+000
47.0000,0.0000E+000
48.0000,0.0000E+000
49.0000,0.0000E+000
50.0000,0.0000E+000
51.0000,0.0000E+000
52.0000,0.0000E+000
53.0000,0.0000E+000
54.0000,0.0000E+000
55.0000,0.0000E+000
56.0000,0.0000E+000
57.0000,0.0000E+000
58.0000,0.0000E+000
59.0000,0.0000E+000
60.0000,0.0000E+000
61.0000,0.0000E+000
62.0000,0.0000E+000
63.0000,0.0000E+000
64.0000,2.6310E+002
65.0000,2.2578E+002
66.0000,2.8416E+002
67.0000,0.0000E+000
68.0000,3.1646E+002
69.0000,0.0000E+000
70.0000,0.0000E+000
71.0000,0.0000E+000
72.0000,0.0000E+000
73.0000,0.0000E+000
74.0000,2.7918E+002
75.0000,2.6315E+002
76.0000,2.6316E+002
77.0000,2.1456E+002
78.0000,1.9647E+002
79.0000,3.0459E+002
80.0000,2.4644E+002
81.0000,3.2381E+002
82.0000,2.9407E+002
83.0000,3.3909E+002
84.0000,3.1272E+002
85.0000,3.0788E+002
86.0000,2.3458E+002
87.0000,3.0526E+002
88.0000,2.2740E+002
89.0000,2.6554E+002
90.0000,2.9575E+002
91.0000,2.3620E+002
92.0000,3.1369E+002
93.0000,2.6523E+002
94.0000,3.0987E+002
95.0000,2.9533E+002
96.0000,2.6732E+002
97.0000,2.2131E+002
98.0000,2.1941E+002
99.0000,2.2096E+002
100.0000,2.1847E+002
101.0000,2.1264E+002
102.0000,2.5683E+002
103.0000,3.1508E+002
104.0000,2.5400E+002
105.0000,2.4365E+002
106.0000,2.2467E+002
107.0000,2.5288E+002
108.0000,3.5728E+002
109.0000,3.4063E+002
110.0000,3.1647E+002
111.0000,2.2907E+002
112.0000,2.3261E+002
113.0000,2.9590E+002
114.0000,3.3143E+002
115.0000,3.5555E+002
116.0000,3.8106E+002
117.0000,3.0522E+002
118.0000,3.1996E+002
119.0000,3.0522E+002
120.0000,3.1374E+002
121.0000,3.0819E+002
122.0000,2.4865E+002
123.0000,2.6722E+002
124.0000,2.7823E+002
125.0000,2.8114E+002
126.0000,3.6400E+002
127.0000,2.9223E+002
128.0000,3.4024E+002
129.0000,3.1401E+002
130.0000,2.9451E+002
131.0000,2.5603E+002
132.0000,3.4946E+002
133.0000,3.7007E+002
134.0000,2.9101E+002
135.0000,3.5055E+002
136.0000,2.2076E+002
137.0000,2.4089E+002
138.0000,2.7816E+002
