"",25.000
0.0000,0.0000E+000
1.0000,0.0000E+000
2.0000,0.0000E+000
3.0000,0.0000E+000
4.0000,0.0000E+000
5.0000,0.0000E+000
6.0000,0.0000E+000
7.0000,0.0000E+000
8.0000,0.0000E+000
9.0000,0.0000E+000
10.0000,0.0000E+000
11.0000,0.0000E+000
12.0000,0.0000E+000
13.0000,0.0000E+000
14.0000,0.0000E+000
15.0000,0.0000E+000
16.0000,0.0000E+000
17.0000,0.0000E+000
18.0000,0.0000E+000
19.0000,0.0000E+000
20.0000,0.0000E+000
21.0000,0.0000E+000
22.0000,0.0000E+000
23.0000,0.0000E+000
24.0000,0.0000E+000
25.0000,0.0000E+000
26.0000,0.0000E+000
27.0000,0.0000E+000
28.0000,0.0000E+000
29.0000,0.0000E+000
30.0000,0.0000E+000
31.0000,0.0000E+000
32.0000,0.0000E+000
33.0000,0.0000E+000
34.0000,0.0000E+000
35.0000,0.0000E+000
36.0000,0.0000E+000
37.0000,1.4476E+001
38.0000,0.0000E+000
39.0000,0.0000E+000
40.0000,5.6138E+001
41.0000,1.8905E+001
42.0000,5.5230E+000
43.0000,0.0000E+000
44.0000,0.0000E+000
45.0000,0.0000E+000
46.0000,0.0000E+000
47.0000,0.0000E+000
48.0000,0.0000E+000
49.0000,0.0000E+000
50.0000,0.0000E+000
51.0000,0.0000E+000
52.0000,0.0000E+000
53.0000,0.0000E+000
54.0000,0.0000E+000
55.0000,0.0000E+000
56.0000,0.0000E+000
57.0000,0.0000E+000
58.0000,0.0000E+000
59.0000,0.0000E+000
60.0000,0.0000E+000
61.0000,0.0000E+000
62.0000,0.0000E+000
63.0000,0.0000E+000
64.0000,1.8482E+001
65.0000,6.1413E+000
66.0000,4.6561E+000
67.0000,0.0000E+000
68.0000,9.0089E+000
69.0000,0.0000E+000
70.0000,0.0000E+000
71.0000,0.0000E+000
72.0000,0.0000E+000
73.0000,0.0000E+000
74.0000,2.5995E+001
75.0000,6.0700E+001
76.0000,5.5626E+001
77.0000,1.3262E+001
78.0000,-1.1922E+001
79.0000,-5.0181E-002
80.0000,1.1659E+001
81.0000,4.5596E+001
82.0000,6.4293E+001
83.0000,5.4144E+001
84.0000,5.6577E+000
85.0000,8.6907E+000
86.0000,-1.8917E+001
87.0000,-4.3675E+001
88.0000,-2.6559E+001
89.0000,-2.4243E+001
90.0000,-7.1285E+000
91.0000,-7.6821E+000
92.0000,1.5558E+000
93.0000,-8.9528E+000
94.0000,2.2714E+000
95.0000,-3.2675E+001
96.0000,-3.8199E+001
97.0000,-2.0805E+001
98.0000,-1.6224E+001
99.0000,-1.6271E+001
100.0000,-1.7628E+001
101.0000,-2.3353E+001
102.0000,-1.7734E+001
103.0000,-7.3929E+000
104.0000,-1.2022E+001
105.0000,-5.9933E-001
106.0000,-6.0130E+000
107.0000,8.4651E+000
108.0000,1.0783E+001
109.0000,-1.0085E+001
110.0000,-2.9543E+001
111.0000,-2.2969E+001
112.0000,-9.7507E+000
113.0000,1.7736E+001
114.0000,8.0866E+001
115.0000,-1.8847E+000
116.0000,7.8383E+001
117.0000,-4.2497E+000
118.0000,-1.3041E+001
119.0000,-1.6848E+000
120.0000,1.1957E+001
121.0000,-1.5824E+001
122.0000,-2.3983E+001
123.0000,-5.3837E+000
124.0000,-2.2128E+001
125.0000,-2.1373E+001
126.0000,1.4771E+000
127.0000,-1.6965E+001
128.0000,-4.1390E+001
129.0000,-3.5573E+001
130.0000,-3.9723E+001
131.0000,-4.2564E+001
132.0000,-4.8269E+001
133.0000,1.3297E+001
134.0000,-1.7313E+001
