"",25.000
0.0000,0.0000E+000
1.0000,0.0000E+000
2.0000,0.0000E+000
3.0000,0.0000E+000
4.0000,0.0000E+000
5.0000,0.0000E+000
6.0000,0.0000E+000
7.0000,0.0000E+000
8.0000,0.0000E+000
9.0000,0.0000E+000
10.0000,0.0000E+000
11.0000,0.0000E+000
12.0000,0.0000E+000
13.0000,0.0000E+000
14.0000,0.0000E+000
15.0000,0.0000E+000
16.0000,0.0000E+000
17.0000,0.0000E+000
18.0000,0.0000E+000
19.0000,0.0000E+000
20.0000,0.0000E+000
21.0000,0.0000E+000
22.0000,0.0000E+000
23.0000,0.0000E+000
24.0000,0.0000E+000
25.0000,0.0000E+000
26.0000,0.0000E+000
27.0000,0.0000E+000
28.0000,0.0000E+000
29.0000,0.0000E+000
30.0000,0.0000E+000
31.0000,0.0000E+000
32.0000,0.0000E+000
33.0000,0.0000E+000
34.0000,0.0000E+000
35.0000,0.0000E+000
36.0000,0.0000E+000
37.0000,6.8871E-001
38.0000,0.0000E+000
39.0000,0.0000E+000
40.0000,4.3582E+000
41.0000,4.5246E-001
42.0000,-1.7387E+000
43.0000,0.0000E+000
44.0000,0.0000E+000
45.0000,0.0000E+000
46.0000,0.0000E+000
47.0000,0.0000E+000
48.0000,0.0000E+000
49.0000,0.0000E+000
50.0000,0.0000E+000
51.0000,0.0000E+000
52.0000,0.0000E+000
53.0000,0.0000E+000
54.0000,0.0000E+000
55.0000,0.0000E+000
56.0000,0.0000E+000
57.0000,0.0000E+000
58.0000,0.0000E+000
59.0000,0.0000E+000
60.0000,0.0000E+000
61.0000,0.0000E+000
62.0000,0.0000E+000
63.0000,0.0000E+000
64.0000,1.0951E+000
65.0000,-1.9631E-001
66.0000,-6.3599E-002
67.0000,0.0000E+000
68.0000,2.4112E-001
69.0000,0.0000E+000
70.0000,0.0000E+000
71.0000,0.0000E+000
72.0000,0.0000E+000
73.0000,0.0000E+000
74.0000,3.4941E-001
75.0000,4.1018E+000
76.0000,2.8933E+000
77.0000,-2.8842E+000
78.0000,-1.7830E+001
79.0000,-1.4991E+001
80.0000,-7.5206E+000
81.0000,1.5170E+000
82.0000,1.5152E+001
83.0000,4.7445E+001
84.0000,-4.8247E+000
85.0000,-1.3291E+001
86.0000,-3.2942E+001
87.0000,-4.1675E+001
88.0000,-2.7969E+001
89.0000,-3.3195E+001
90.0000,-3.5360E+001
91.0000,-2.0615E+001
92.0000,-7.3716E+000
93.0000,-1.9353E+001
94.0000,-1.4965E+001
95.0000,-5.0256E+001
96.0000,-5.1566E+001
97.0000,-4.1194E+001
98.0000,-3.4084E+001
99.0000,-2.8610E+001
100.0000,-2.8134E+001
101.0000,-3.8283E+001
102.0000,-3.3543E+001
103.0000,-2.9176E+001
104.0000,-3.0477E+001
105.0000,-1.9064E+001
106.0000,-3.2789E+001
107.0000,-2.6120E+001
108.0000,6.3761E+000
109.0000,-1.4247E+001
110.0000,-5.4668E+001
111.0000,-4.0184E+001
112.0000,-3.0601E+001
113.0000,7.2347E+000
114.0000,7.8431E+001
115.0000,-1.0169E+001
116.0000,6.4452E+001
117.0000,-1.6244E+001
118.0000,-2.5543E+001
119.0000,-7.7896E+000
120.0000,-1.4903E+001
121.0000,-4.0545E+001
122.0000,-6.2484E+001
123.0000,-3.7824E+001
124.0000,-5.9187E+001
125.0000,-5.1768E+001
126.0000,-9.5488E+000
127.0000,-4.8466E+001
128.0000,-7.2750E+001
129.0000,-6.6040E+001
130.0000,-7.4212E+001
131.0000,-9.9030E+001
132.0000,-9.2235E+001
133.0000,-1.0241E+001
