"",25.000
0.0000,0.0000E+000
1.0000,0.0000E+000
2.0000,0.0000E+000
3.0000,0.0000E+000
4.0000,0.0000E+000
5.0000,0.0000E+000
6.0000,0.0000E+000
7.0000,0.0000E+000
8.0000,0.0000E+000
9.0000,0.0000E+000
10.0000,0.0000E+000
11.0000,0.0000E+000
12.0000,0.0000E+000
13.0000,0.0000E+000
14.0000,0.0000E+000
15.0000,0.0000E+000
16.0000,0.0000E+000
17.0000,0.0000E+000
18.0000,0.0000E+000
19.0000,0.0000E+000
20.0000,0.0000E+000
21.0000,0.0000E+000
22.0000,0.0000E+000
23.0000,0.0000E+000
24.0000,0.0000E+000
25.0000,0.0000E+000
26.0000,0.0000E+000
27.0000,0.0000E+000
28.0000,0.0000E+000
29.0000,0.0000E+000
30.0000,0.0000E+000
31.0000,0.0000E+000
32.0000,0.0000E+000
33.0000,0.0000E+000
34.0000,0.0000E+000
35.0000,0.0000E+000
36.0000,0.0000E+000
37.0000,0.0000E+000
38.0000,0.0000E+000
39.0000,0.0000E+000
40.0000,0.0000E+000
41.0000,0.0000E+000
42.0000,0.0000E+000
43.0000,0.0000E+000
44.0000,0.0000E+000
45.0000,0.0000E+000
46.0000,0.0000E+000
47.0000,0.0000E+000
48.0000,0.0000E+000
49.0000,0.0000E+000
50.0000,0.0000E+000
51.0000,0.0000E+000
52.0000,0.0000E+000
53.0000,0.0000E+000
54.0000,0.0000E+000
55.0000,0.0000E+000
56.0000,0.0000E+000
57.0000,0.0000E+000
58.0000,0.0000E+000
59.0000,0.0000E+000
60.0000,0.0000E+000
61.0000,0.0000E+000
62.0000,0.0000E+000
63.0000,0.0000E+000
64.0000,0.0000E+000
65.0000,0.0000E+000
66.0000,0.0000E+000
67.0000,0.0000E+000
68.0000,0.0000E+000
69.0000,0.0000E+000
70.0000,0.0000E+000
71.0000,0.0000E+000
72.0000,0.0000E+000
73.0000,0.0000E+000
74.0000,0.0000E+000
75.0000,0.0000E+000
76.0000,0.0000E+000
77.0000,0.0000E+000
78.0000,0.0000E+000
79.0000,0.0000E+000
80.0000,0.0000E+000
81.0000,0.0000E+000
82.0000,0.0000E+000
83.0000,0.0000E+000
84.0000,0.0000E+000
85.0000,0.0000E+000
86.0000,0.0000E+000
87.0000,0.0000E+000
88.0000,0.0000E+000
89.0000,0.0000E+000
90.0000,0.0000E+000
91.0000,0.0000E+000
92.0000,0.0000E+000
93.0000,0.0000E+000
94.0000,0.0000E+000
95.0000,0.0000E+000
96.0000,0.0000E+000
97.0000,0.0000E+000
98.0000,0.0000E+000
99.0000,0.0000E+000
100.0000,0.0000E+000
101.0000,0.0000E+000
102.0000,0.0000E+000
103.0000,0.0000E+000
104.0000,0.0000E+000
105.0000,0.0000E+000
106.0000,0.0000E+000
107.0000,0.0000E+000
108.0000,0.0000E+000
109.0000,0.0000E+000
110.0000,0.0000E+000
111.0000,0.0000E+000
112.0000,0.0000E+000
113.0000,0.0000E+000
114.0000,0.0000E+000
115.0000,0.0000E+000
116.0000,0.0000E+000
117.0000,0.0000E+000
118.0000,0.0000E+000
119.0000,0.0000E+000
120.0000,0.0000E+000
121.0000,0.0000E+000
122.0000,0.0000E+000
123.0000,0.0000E+000
124.0000,0.0000E+000
125.0000,0.0000E+000
126.0000,0.0000E+000
127.0000,0.0000E+000
128.0000,0.0000E+000
129.0000,0.0000E+000
130.0000,0.0000E+000
131.0000,0.0000E+000
132.0000,0.0000E+000
133.0000,0.0000E+000
134.0000,0.0000E+000
135.0000,0.0000E+000
136.0000,0.0000E+000
137.0000,0.0000E+000
138.0000,0.0000E+000
