"domain","process","subprocess","model_coupled","parameter","default","unit","value","note"
"sediment","burial","burial","GOTM-Selmaprotbas","fl_burialrate","0.001","d-1","","sediment burial rate"
"sediment","decomposition","mineralisation","GOTM-Selmaprotbas","dn_sed","0.002","d-1","","Sediment mineralisation rate at 20 degC"
"sediment","decomposition","mineralisation","GOTM-Selmaprotbas","q10_recs","0.175","K-1","","temperature dependence of sediment remineralization"
"sediment","decomposition","mineralisation_dom","GOTM-WET","kDMinDOMS","0.001","1/d","","mineralization constant of DOM-DW at 20*C"
"sediment","decomposition","mineralisation_dom","GOTM-WET","cThetaMinDOMS","1.06","1/e^*C","","temperature coefficient of DOM mineralization"
"sediment","decomposition","mineralisation_humus","GOTM-WET","kDMinHum","5.00E-05","1/d","","humic decomposition constant at 20*C"
"sediment","decomposition","mineralisation_pom","GOTM-WET","kDMinPOMS","0.003","1/d","","decomposition constant of POM-DW at 20*C"
"sediment","decomposition","mineralisation_pom","GOTM-WET","cThetaMinPOMS","1.074","1/e^*C","","temperature coefficient of POM mineralization"
"sediment","initial_conditions","initial_dom","GOTM-WET","sDDOMS",NA,"g/m2","","dissolved organic matter"
"sediment","initial_conditions","initial_humus","GOTM-WET","sDHumS",NA,"g/m2","","humus DW"
"sediment","initial_conditions","initial_im","GOTM-WET","sDIMS",NA,"g/m2","","inorganic matter"
"sediment","initial_conditions","initial_pom","GOTM-Selmaprotbas","fl_c","none","mmol C m-2","","Initial carbon fluff"
"sediment","initial_conditions","initial_pom","GOTM-WET","sDPOMS",NA,"g/m2","","particulate organic DW"
"sediment","sediment_characteristics","active_layer_depth","GOTM-WET","cDepthS","0.1","m","","sediment depth"
"sediment","sediment_characteristics","sediment_composition","GOTM-WET","fDOrgSoil","0.1","-","","deep sediment organic matter fraction"
"sediment","sediment_characteristics","sediment_composition","GOTM-WET","cCPerDWS","0.4","gC/gDW","","C content of organic DW matter"
"sediment","sediment_characteristics","sediment_composition","GOTM-WET","bPorS","0.58","m3/m3","","sediment porosity"
"sediment","sediment_characteristics","sediment_composition","GOTM-WET","bPorCorS","0.737275","sediment porosit","","sediment porosity"
"sediment","sediment_characteristics","sediment_composition","GOTM-WET","cRhoOM","1400000","g/m3","","density of sediment organic matter"
"sediment","sediment_characteristics","sediment_composition","GOTM-WET","cRhoIM","2500000","g/m3","","density of sediment inorganic matter"
"sediment","water_sediment_exchange","diffusion","GOTM-WET","kDDifDOM","0.002","m2/d","","DOM diffusion constant DW at 20*C"
