domain,process,subprocess,model_coupled,parameter,default,unit,value,note
water,initial_conditions,initial_phyto,GOTM-Selmaprotbas,c,none,mmol C m-3,1,Initial concentration of phytoplankton
water,initial_conditions,minimum_concentration,GOTM-Selmaprotbas,c0,0,mmol C m-3,0,background concentration
water,growth,growth_rate,GOTM-Selmaprotbas,r0,1.3,d-1,1.3,maximum growth rate at 20 degrees C
water,growth,equation_options_growth_rate,GOTM-Selmaprotbas,tlim,0,-,0,"temperature limitation of growth (0: none (i.e. beta only), 1: flagellate-style, 2: cyanobacteria-style)"
water,growth,equation_options_temperature_limitation,GOTM-Selmaprotbas,tll,none,-,1,"if tlim = 1; half-saturation temperature, squared (degC2). if tlim = 2; lower temperature limit (degC)"
water,growth,temperature_limitation,GOTM-Selmaprotbas,beta,3.7,-,3.7,temperature growth correction factor
water,growth,equation_options_light_limitation,GOTM-Selmaprotbas,llim,1,-,1,"light limitation of growth (1: Reynolds, 2: Selma)"
water,growth,light_limitation,GOTM-Selmaprotbas,alpha_light,0.1,d-1 (W m-2)-1,0.1,llim = 1; the slope of light-dependent growth
water,growth,light_limitation,GOTM-Selmaprotbas,imin,50,W m-2,50,llim = 2; minimal optimal light radiation
water,respiration,respiration_rate,GOTM-Selmaprotbas,nb,0.01,d-1,0.01,excretion rate
water,mortality,mortality_rate,GOTM-Selmaprotbas,deltao,0.02,d-1,0.02,mortality rate
water,growth,nutrient_limitation,GOTM-Selmaprotbas,alpha,1.65625,mmol m-3,1.65625,half-saturation for nutrient uptake
water,growth,n_limitation,GOTM-Selmaprotbas,alpha_n,{par}{group_name}/parameters/alpha,mmol N m-3,1.65625,half-saturation for nitrogen uptake
water,growth,p_limitation,GOTM-Selmaprotbas,alpha_p,{par}{group_name}/parameters/alpha,mmol P m-3,1.65625,half-saturation for phosphorus uptake
water,growth,si_limitation,GOTM-Selmaprotbas,alpha_si,{par}{group_name}/parameters/alpha,mmol Si m-3,1.65625,half-saturation for silica uptake
water,growth,equation_options_n_limitation,GOTM-Selmaprotbas,nitrogen_fixation,FALSE,(boolean),FALSE,whether nitrogen fixation is used to acquire nitrogen
water,vertical_movement,vertical_velocity,GOTM-Selmaprotbas,wz,0,m d-1,0,Vertical velocity (negative is downwards)
water,vertical_movement,equation_options_vertical_velocity,GOTM-Selmaprotbas,buoyancy_regulation,FALSE,(boolean),FALSE,whether cells can regulate vertical movement
water,vertical_movement,equation_options_vertical_velocity,GOTM-Selmaprotbas,buoy_temperature,FALSE,(boolean),FALSE,"whether temperature can regulate buoyancy, if buoyancy_regulation is true"
water,vertical_movement,equation_options_vertical_velocity,GOTM-Selmaprotbas,buoy_nutrient,FALSE,(boolean),FALSE,"whether nutrient limitation can regulate buoyancy, if buoyancy_regulation is true"
water,vertical_movement,vertical_velocity,GOTM-Selmaprotbas,par_limit1,0,W m-2,0,"below this light intensity, buoyancy-regulating plankton change vertical velocity from vert_vel1 to vert_vel2"
water,vertical_movement,vertical_velocity,GOTM-Selmaprotbas,par_limit2,{par}{group_name}/parameters/par_limit1,W m-2,0,"below this light intensity, buoyancy-regulating plankton change vertical velocity to vert_vel3"
water,vertical_movement,vertical_velocity,GOTM-Selmaprotbas,par_limit3,{par}{group_name}/parameters/par_limit2,W m-2,0,"below this light intensity, buoyancy-regulating plankton change vertical velocity to vert_vel4"
water,vertical_movement,vertical_velocity,GOTM-Selmaprotbas,buoy_temp_limit,0,degC,0,"if temperature falls below this temperature, vertical velocity is set to vert_vel_temp, if buoyancy_regulation = true"
water,vertical_movement,vertical_velocity,GOTM-Selmaprotbas,buoy_nutrient_limit,0,-,0,"if nutrient limitation falls below this value (0-1), vertical velocity is set to vert_vel_nutrient, if buoyancy_regulation = true"
water,vertical_movement,vertical_velocity,GOTM-Selmaprotbas,vert_vel1,0,m d-1,0,"rate of vertical movement above par_limit1, if buoyancy_regulation = true"
water,vertical_movement,vertical_velocity,GOTM-Selmaprotbas,vert_vel2,{par}{group_name}/parameters/vert_vel1,m d-1,0,"rate of vertical movement below par_limit1 and above par_limit2, if buoyancy_regulation = true"
water,vertical_movement,vertical_velocity,GOTM-Selmaprotbas,vert_vel3,{par}{group_name}/parameters/vert_vel2,m d-1,0,"rate of vertical movement below par_limit2 and above par_limit3, if buoyancy_regulation = true"
water,vertical_movement,vertical_velocity,GOTM-Selmaprotbas,vert_vel4,{par}{group_name}/parameters/vert_vel3,m d-1,0,"rate of vertical movement below par_limit3, if buoyancy_regulation = true"
water,vertical_movement,vertical_velocity,GOTM-Selmaprotbas,vert_vel_temp,{par}{group_name}/parameters/vert_vel4,m d-1,0,"vertical velocity at temperatures below buoy_temp_limit, if buoyancy_regulation = true"
water,vertical_movement,vertical_velocity,GOTM-Selmaprotbas,vert_vel_nutrient,{par}{group_name}/parameters/vert_vel4,m d-1,0,"vertical velocity at nutrient limitation below buoy_nutrient_limit, if buoyancy_regulation = true"
water,water_sediment_exchange,settling,GOTM-Selmaprotbas,sedrate,0,m d-1,0,sedimentation rate
water,water_sediment_exchange,resuspension,GOTM-Selmaprotbas,tau_crit,0.07,N m-2,0.07,critical shear stress
water,light,light_attenuation,GOTM-Selmaprotbas,kc,none,m2 mmolC-1,none,specific light attenuation
water,stoichiometry,nitrogen_ratio,GOTM-Selmaprotbas,rfn,0.150943,-,0.150943,nitrogen : carbon ratio (mol N/mol C)
water,stoichiometry,phosphorus_ratio,GOTM-Selmaprotbas,rfr,0.009434,-,0.009434,phosphorus : carbon ratio (mol P/mol C)
water,stoichiometry,silica_ratio,GOTM-Selmaprotbas,rfs,0,-,0,silica : carbon ratio (mol Si/mol C)
water,initial_conditions,name,GLM-AED2,p_name,NAME,?,NAME,functional species name
water,initial_conditions,name,GLM-AED2,p_name,NAME,?,NAME,functional species name
water,stoichiometry,chlorophyll_ratio,GOTM-Selmaprotbas,Yc,6.25,mmol C/mg Chl a,6.25,carbon : chlorophyll a ratio
water,initial_conditions,initial_phyto,GLM-AED2,p_initial,10,mmol C m-3,10,Initial concentration of phytoplankton
