"domain","process","subprocess","model_coupled","parameter","default","unit","value","note"
"water","initial_conditions","initial_phyto","GOTM-Selmaprotbas","c","none","mmol C m-3","","Initial concentration of phytoplankton"
"water","initial_conditions","minimum_concentration","GOTM-Selmaprotbas","c0","0","mmol C m-3","","background concentration"
"water","growth","growth_rate","GOTM-Selmaprotbas","r0","1.3","d-1","","maximum growth rate at 20 degrees C"
"water","growth","equation_options_growth_rate","GOTM-Selmaprotbas","tlim","0","-","","temperature limitation of growth (0: none (i.e. beta only), 1: flagellate-style, 2: cyanobacteria-style)"
"water","growth","equation_options_temperature_limitation","GOTM-Selmaprotbas","tll","none","-","","if tlim = 1; half-saturation temperature, squared (degC2). if tlim = 2; lower temperature limit (degC)"
"water","growth","temperature_limitation","GOTM-Selmaprotbas","beta","3.7","-","","temperature growth correction factor"
"water","growth","equation_options_light_limitation","GOTM-Selmaprotbas","llim","1","-","","light limitation of growth (1: Reynolds, 2: Selma)"
"water","growth","light_limitation","GOTM-Selmaprotbas","alpha_light","0.1","d-1 (W m-2)-1","","llim = 1; the slope of light-dependent growth"
"water","growth","light_limitation","GOTM-Selmaprotbas","imin","50","W m-2","","llim = 2; minimal optimal light radiation"
"water","respiration","respiration_rate","GOTM-Selmaprotbas","nb","0.01","d-1","","excretion rate"
"water","mortality","mortality_rate","GOTM-Selmaprotbas","deltao","0.02","d-1","","mortality rate"
"water","growth","nutrient_limitation","GOTM-Selmaprotbas","alpha","1.65625","mmol m-3","","half-saturation for nutrient uptake"
"water","growth","n_limitation","GOTM-Selmaprotbas","alpha_n","{par}{group_name}/parameters/alpha","mmol N m-3","","half-saturation for nitrogen uptake"
"water","growth","p_limitation","GOTM-Selmaprotbas","alpha_p","{par}{group_name}/parameters/alpha","mmol P m-3","","half-saturation for phosphorus uptake"
"water","growth","si_limitation","GOTM-Selmaprotbas","alpha_si","{par}{group_name}/parameters/alpha","mmol Si m-3","","half-saturation for silica uptake"
"sediment","initial_conditions","initial_phyto","GOTM-WET","sDS",NA,"gDW/m2","","sediment DW"
"sediment","initial_conditions","initial_phyto","GOTM-WET","sNS",NA,"gN/m2","","sediment N"
"sediment","initial_conditions","initial_phyto","GOTM-WET","sPS",NA,"gP/m2","","sediment P"
"sediment","initial_conditions","minimum_concentration","GOTM-WET","cDMinS","1.00E-05","gDW/m3","","minimum DW concentration in sediment"
"sediment","mortality","excretion","GOTM-WET","fDOMS","0","-","","DOM fraction of settled dead cells"
"sediment","mortality","mortality_rate","GOTM-WET","kMortS","0.2","1/d","","mortality rate of settled phytoplankton"
"sediment","water_sediment_exchange","resuspension","GOTM-WET","kResusMax","0.25","1/d","","maximum phytoplankton resuspension rate"
"sediment","water_sediment_exchange","resuspension","GOTM-WET","cResusExp","-0.379","gDW/m2/d)","","exponent parameter for phytoplankton resuspension (1"
"water","growth","equation_options_growth_rate","GOTM-Selmaprotbas","tlim","0","-","","temperature limitation of growth (0: none (i.e. beta only);  1: flagellate-style;  2: cyanobacteria-style)"
"water","growth","equation_options_light_limitation","GLM-AED2","lightModel","0","(integer)","","1: ; 2:"
"water","growth","equation_options_light_limitation","GLM-AED2","lightModel","0","(integer)","","1: ; 2:"
"water","growth","equation_options_light_limitation","GOTM-Selmaprotbas","llim","1","-","","light limitation of growth (1: Reynolds;  2: Selma)"
"water","growth","equation_options_light_limitation","GOTM-WET","qLightMethod","2","-","","lightmethod 1=no photoinhibition; 2=photoinhibition"
"water","growth","equation_options_n_fixation","GOTM-WET","fMuNFix","0.9","-","","lNfix=.true.; fraction of MuMax at max N fix."
"water","growth","equation_options_n_limitation","GLM-AED2","simDONUptake","0","(integer)","","1: ; 2:"
"water","growth","equation_options_n_limitation","GLM-AED2","simDONUptake","0","(integer)","","1: ; 2:"
"water","growth","equation_options_n_limitation","GLM-AED2","simNFixation","0","(integer)","","1: ; 2:"
"water","growth","equation_options_n_limitation","GLM-AED2","simNFixation","0","(integer)","","1: ; 2:"
"water","growth","equation_options_n_limitation","GLM-AED2","simDINUptake","1","(integer)","","1: ; 2:"
"water","growth","equation_options_n_limitation","GLM-AED2","simDINUptake","1","(integer)","","1: ; 2:"
"water","growth","equation_options_n_limitation","GLM-AED2","simINDynamics","1","(integer)","","1: ; 2:"
