time,FLOW,SALT,TEMP,PHS_frp,PHS_frp_ads,OGM_dop,OGM_pop,OGM_don,NIT_amm,NIT_nit,OGM_docr,CAR_dic,CAR_pH,SIL_rsi,ZOO_daphnia
1979-01-01,21.538606,0,-1.049185,0.9655,2.0556,0.8017,0.2884,34.8803,131.1826,348.8028,583.3333,5000.0000,7.7000,33.0000,0.0000
1979-01-02,20.537399,0,-1.083561,0.9603,2.0445,0.7973,0.2868,35.4066,126.6381,354.0662,583.3333,5000.0000,7.7000,33.0000,0.0000
1979-01-03,19.579614,0,-1.113521,0.9551,2.0334,0.7930,0.2853,35.9538,122.1431,359.5379,583.3333,5000.0000,7.7000,33.0000,0.0000
1979-01-04,18.658099,0,-1.139244,0.9500,2.0225,0.7888,0.2838,36.5188,117.7323,365.1879,583.3333,5000.0000,7.7000,33.0000,0.0000
1979-01-05,17.784508,0,-1.161115,0.9450,2.0119,0.7846,0.2823,37.0945,113.4647,370.9447,583.3333,5000.0000,7.7000,33.0000,0.0000
1979-01-06,16.960358,0,-1.179335,0.9402,2.0017,0.7807,0.2808,37.6768,109.3661,376.7680,583.3333,5000.0000,7.7000,33.0000,0.0000
1979-01-07,16.180215,0,-1.194097,0.9357,1.9921,0.7769,0.2795,38.2617,105.4565,382.6167,583.3333,5000.0000,7.7000,33.0000,0.0000
1979-01-08,6.019870,0,-1.205637,0.9315,1.9832,0.7734,0.2782,38.8439,101.7579,388.4390,583.3333,5000.0000,7.7000,33.0000,0.0000
1979-01-09,14.756063,0,-1.214007,0.9276,1.9749,0.7702,0.2771,39.4218,98.2656,394.2177,583.3333,5000.0000,7.7000,33.0000,0.0000
1979-01-10,14.101075,0,-1.219223,0.9241,1.9674,0.7673,0.2760,39.9943,94.9702,399.9429,583.3333,5000.0000,7.7000,33.0000,0.0000
1979-01-11,13.399354,0,-1.220285,0.9206,1.9600,0.7644,0.2750,40.5819,91.7461,405.8193,583.3333,5000.0000,7.7000,33.0000,0.0000
1979-01-12,12.678146,0,-1.216048,0.9170,1.9522,0.7614,0.2739,41.2096,88.4673,412.0958,583.3333,5000.0000,7.7000,33.0000,0.0000
1979-01-13,12.524567,0,-1.211894,0.9144,1.9468,0.7593,0.2731,41.7612,85.7248,417.6115,583.3333,5000.0000,7.7000,33.0000,0.0000
1979-01-14,12.438465,0,-1.210761,0.9137,1.9453,0.7587,0.2729,42.1685,83.7840,421.6848,583.3333,5000.0000,7.7000,33.0000,0.0000
1979-01-15,11.931121,0,-1.202247,0.9123,1.9423,0.7575,0.2725,42.6581,81.5244,426.5814,583.3333,5000.0000,7.7000,33.0000,0.0000
1979-01-16,11.545578,0,-1.191985,0.9115,1.9407,0.7569,0.2723,43.1058,79.5345,431.0585,583.3333,5000.0000,7.7000,33.0000,0.0000
