datetime,depth_range,division,taxa_name,biomass_conc,genus
1995-01-24T00:00:00Z,0-8m,Bacillariophyta,Stephanodiscus hantzschii ,0.00269107,Stephanodiscus
1995-01-24T00:00:00Z,0-8m,Bacillariophyta,Cyclostephanos invisitatus ,0.0437146,Cyclostephanos
1995-01-24T00:00:00Z,0-8m,Chrysophyta,Kephyrion sp5 ,0.00232053,Kephyrion
1995-01-24T00:00:00Z,0-8m,Chlorophyta,Chlamydomonas globosa ,0.00156244,Chlamydomonas
1995-01-24T00:00:00Z,0-8m,Cryptophyta,Cryptomonas erosa ,0.08783365,Cryptomonas
1995-01-24T00:00:00Z,0-8m,Cryptophyta,Cryptomonas lucens ,0.00029051,Cryptomonas
1995-01-24T00:00:00Z,0-8m,Cryptophyta,Rhodomonas minuta ,0.102,Rhodomonas
1995-01-24T00:00:00Z,0-8m,Cryptophyta,Cryptomonas ovata ,0.1024,Cryptomonas
1995-01-24T00:00:00Z,0-8m,Cyanophyta,Aphanizomenon flos-aquae,0.00305053,Aphanizomenon
1995-01-24T00:00:00Z,0-8m,Cyanophyta,Aphanothece nidulans ,0.00220015,Aphanothece
1995-01-24T00:00:00Z,0-8m,Cyanophyta,Oscillatoria limnetica ,0.00300473,Pseudanabaena
1995-01-24T00:00:00Z,0-8m,Cyanophyta,Synechocystis  ,0.00464107,Synechocystis
1995-01-24T00:00:00Z,0-8m,Pyrrhophyta,Gymnodinium sp3 ,0.00023437,Gymnodinium
1995-01-24T00:00:00Z,0-8m,Pyrrhophyta,Peridinium umbonatum ,0.00229311,Peridinium
1995-01-24T00:00:00Z,0-8m,Miscellaneous,Miscellaneous,0.0113126,""
1995-01-24T00:00:00Z,0-8m,Miscellaneous,Miscellaneous,0.03016693,""
1995-01-24T00:00:00Z,0-8m,Bacillariophyta,Achnanthes minutissima ,0.00065298,Achnanthes
1995-03-08T00:00:00Z,0-8m,Bacillariophyta,Cyclostephanos invisitatus ,0.00822863,Cyclostephanos
1995-03-08T00:00:00Z,0-8m,Chlorophyta,Chlamydomonas incerta ,0.00610328,Chlamydomonas
1995-03-08T00:00:00Z,0-8m,Cryptophyta,Cryptomonas erosa ,0.194,Cryptomonas
1995-03-08T00:00:00Z,0-8m,Cryptophyta,Rhodomonas minuta ,0.06872738,Rhodomonas
1995-03-08T00:00:00Z,0-8m,Cryptophyta,Rhodomonas minuta var. nannoplanctica,0.04054166,Rhodomonas
1995-03-08T00:00:00Z,0-8m,Cryptophyta,Cryptomonas ovata ,0.05334028,Cryptomonas
1995-03-08T00:00:00Z,0-8m,Pyrrhophyta,Gymnodinium sp1 ,0.01499943,Gymnodinium
1995-03-08T00:00:00Z,0-8m,Pyrrhophyta,Gymnodinium sp2 ,0.04804216,Gymnodinium
1995-03-08T00:00:00Z,0-8m,Pyrrhophyta,Gymnodinium sp3 ,0.02640251,Gymnodinium
1995-03-08T00:00:00Z,0-8m,Pyrrhophyta,Peridinium umbonatum ,0.00687932,Peridinium
1995-03-08T00:00:00Z,0-8m,Pyrrhophyta,Amphidinium  ,0.03620032,Amphidinium
1995-03-08T00:00:00Z,0-8m,Miscellaneous,Miscellaneous,0.03250559,""
1995-03-08T00:00:00Z,0-8m,Miscellaneous,Miscellaneous,0.1126,""
1995-03-08T00:00:00Z,0-8m,Chlorophyta,Chlamydomonas inepta,0.00464107,Chlamydomonas
1995-03-08T00:00:00Z,0-8m,Bacillariophyta,Achnanthes minutissima ,0.00058043,Achnanthes
1995-03-28T00:00:00Z,0-8m,Bacillariophyta,Fragilaria capucina ,0.04270967,Fragilaria
1995-03-28T00:00:00Z,0-8m,Bacillariophyta,Stephanodiscus hantzschii ,0.00580572,Stephanodiscus
1995-03-28T00:00:00Z,0-8m,Bacillariophyta,Synedra  ,0.00386951,Synedra
1995-03-28T00:00:00Z,0-8m,Bacillariophyta,Cyclostephanos invisitatus ,0.03247642,Cyclostephanos
1995-03-28T00:00:00Z,0-8m,Chrysophyta,Uroglena  ,0.00464994,Uroglena
1995-03-28T00:00:00Z,0-8m,Chlorophyta,Monoraphidium arcuatum,0.00405839,Monoraphidium
1995-03-28T00:00:00Z,0-8m,Chlorophyta,Chlamydomonas globosa ,0.01856426,Chlamydomonas
1995-03-28T00:00:00Z,0-8m,Chlorophyta,Chlamydomonas incerta ,0.06345788,Chlamydomonas
1995-03-28T00:00:00Z,0-8m,Chlorophyta,Scenedesmus bijuga ,0.00197872,Scenedesmus
1995-03-28T00:00:00Z,0-8m,Cryptophyta,Cryptomonas erosa ,0.04195213,Cryptomonas
1995-03-28T00:00:00Z,0-8m,Cryptophyta,Rhodomonas minuta ,0.03207278,Rhodomonas
1995-03-28T00:00:00Z,0-8m,Cryptophyta,Rhodomonas minuta var. nannoplanctica,0.03711324,Rhodomonas
1995-03-28T00:00:00Z,0-8m,Cryptophyta,Cryptomonas ovata ,0.08800256,Cryptomonas
1995-03-28T00:00:00Z,0-8m,Cyanophyta,Aphanothece saxicola ,0.00131831,Aphanothece
1995-03-28T00:00:00Z,0-8m,Pyrrhophyta,Glenodinium quadridens ,0.09465949,Glenodinium
1995-03-28T00:00:00Z,0-8m,Pyrrhophyta,Gymnodinium sp2 ,0.00187601,Gymnodinium
1995-03-28T00:00:00Z,0-8m,Pyrrhophyta,Gymnodinium sp3 ,0.02640251,Gymnodinium
1995-03-28T00:00:00Z,0-8m,Pyrrhophyta,Peridinium umbonatum ,0.00229311,Peridinium
1995-03-28T00:00:00Z,0-8m,Pyrrhophyta,Pyrrhophyta,0.00178118,""
1995-03-28T00:00:00Z,0-8m,Pyrrhophyta,Amphidinium  ,0.02227712,Amphidinium
1995-03-28T00:00:00Z,0-8m,Miscellaneous,Miscellaneous,0.1359,""
1995-03-28T00:00:00Z,0-8m,Miscellaneous,Miscellaneous,0.01160267,""
1995-03-28T00:00:00Z,0-8m,Chlorophyta,Chlamydomonas inepta,0.0034808,Chlamydomonas
1995-04-11T00:00:00Z,0-8m,Bacillariophyta,Fragilaria capucina ,0.00096738,Fragilaria
1995-04-11T00:00:00Z,0-8m,Bacillariophyta,Navicula sp1 ,0.00701348,Navicula
1995-04-11T00:00:00Z,0-8m,Bacillariophyta,Nitzschia  ,0.00906915,Nitzschia
1995-04-11T00:00:00Z,0-8m,Bacillariophyta,Nitzschia acicularis ,0.00435319,Nitzschia
1995-04-11T00:00:00Z,0-8m,Bacillariophyta,Stephanodiscus niagarae ,0.1744,Stephanodiscus
1995-04-11T00:00:00Z,0-8m,Bacillariophyta,Synedra cyclopum var. incisa,0.04836882,Synedra
1995-04-11T00:00:00Z,0-8m,Bacillariophyta,Cyclostephanos invisitatus ,1.392,Cyclostephanos
1995-04-11T00:00:00Z,0-8m,Chlorophyta,Monoraphidium arcuatum,0.00215144,Monoraphidium
1995-04-11T00:00:00Z,0-8m,Chlorophyta,Chlamydomonas globosa ,0.07986501,Chlamydomonas
1995-04-11T00:00:00Z,0-8m,Chlorophyta,Chlamydomonas incerta ,0.1616,Chlamydomonas
1995-04-11T00:00:00Z,0-8m,Cryptophyta,Cryptomonas erosa ,0.02288298,Cryptomonas
1995-04-11T00:00:00Z,0-8m,Cryptophyta,Rhodomonas minuta ,0.01394982,Rhodomonas
1995-04-11T00:00:00Z,0-8m,Cryptophyta,Rhodomonas minuta var. nannoplanctica,0.04033732,Rhodomonas
1995-04-11T00:00:00Z,0-8m,Cryptophyta,Cryptomonas ovata ,0.1692,Cryptomonas
1995-04-11T00:00:00Z,0-8m,Cyanophyta,Aphanothece saxicola ,0.00175775,Aphanothece
1995-04-11T00:00:00Z,0-8m,Pyrrhophyta,Glenodinium quadridens ,0.1585,Glenodinium
1995-04-11T00:00:00Z,0-8m,Pyrrhophyta,Gymnodinium sp2 ,0.03699947,Gymnodinium
1995-04-11T00:00:00Z,0-8m,Pyrrhophyta,Gymnodinium sp3 ,0.06100423,Gymnodinium
1995-04-11T00:00:00Z,0-8m,Pyrrhophyta,Amphidinium  ,0.01670784,Amphidinium
1995-04-11T00:00:00Z,0-8m,Miscellaneous,Miscellaneous,0.04467026,""
